Bread,,,,,,,,,,,
Scandinavian,Scandinavian,,,,,,,,,,
Hot chocolate,Jam,Cookies,,,,,,,,,
Muffin,,,,,,,,,,,
Coffee,Pastry,Bread,,,,,,,,,
Medialuna,Pastry,Muffin,,,,,,,,,
Medialuna,Pastry,Coffee,Tea,,,,,,,,
Pastry,Bread,,,,,,,,,,
Bread,Muffin,,,,,,,,,,
Scandinavian,Medialuna,,,,,,,,,,
Bread,Medialuna,Bread,,,,,,,,,
Jam,Coffee,Tartine,Pastry,Tea,,,,,,,
Basket,Bread,Coffee,,,,,,,,,
Bread,Medialuna,Pastry,,,,,,,,,
,,Mineral water,Scandinavian,,,,,,,,
Bread,Medialuna,Coffee,,,,,,,,,
Hot chocolate,,,,,,,,,,,
Farm House,,,,,,,,,,,
Farm House,Bread,,,,,,,,,,
Bread,Medialuna,,,,,,,,,,
Coffee,Coffee,Medialuna,Bread,,,,,,,,
Jam,,,,,,,,,,,
Scandinavian,Muffin,,,,,,,,,,
Bread,,,,,,,,,,,
Scandinavian,,,,,,,,,,,
Fudge,,,,,,,,,,,
Scandinavian,,,,,,,,,,,
Coffee,Bread,,,,,,,,,,
Bread,Jam,,,,,,,,,,
Bread,,,,,,,,,,,
Basket,,,,,,,,,,,
Scandinavian,Muffin,,,,,,,,,,
Coffee,,,,,,,,,,,
Coffee,Muffin,,,,,,,,,,
Muffin,Scandinavian,,,,,,,,,,
Tea,Bread,,,,,,,,,,
Coffee,Bread,,,,,,,,,,
Bread,Tea,,,,,,,,,,
Scandinavian,,,,,,,,,,,
Juice,,Tartine,Coffee,Muffin,,,,,,,
Scandinavian,,,,,,,,,,,
Bread,Tea,,,,,,,,,,
Scandinavian,Fudge,,,,,,,,,,
Coffee,Medialuna,,,,,,,,,,
Coffee,Hot chocolate,Medialuna,,,,,,,,,
Coffee,,,,,,,,,,,
[Ella's Kitchen Pouches,Juice,Bread,Muffin,Jam,,,,,,,
Coffee,,,,,,,,,,,
Coffee,Coffee,Medialuna,,,,,,,,,
