"Alex the Allegator";"Arcade";"/game/6288.html";"не издана"
"Blast Chamber";"Action";"/game/6354.html";"не издана"
"Citizens: Backwater Affairs!";"Simulation";"/game/7261.html";"не издана"
"Corridor 8: Galactic Wars";"Action";"/game/5645.html";"не издана"
"Creation";"Simulation";"/game/3713.html";"не издана"
"Deadline";"Action";"/game/5348.html";"не издана"
"Deadly Skies";"Action";"/game/7253.html";"не издана"
"Dodge-Ball";"Arcade";"/game/7184.html";"не издана"
"Duke It's Zero Hour";"Action";"/game/7481.html";"не издана"
"Fate";"Action";"/game/3710.html";"не издана"
"Gondwana";"Arcade";"/game/7251.html";"не издана"
"Jack Nicklaus: Live at Muirfield Village";"Sports";"/game/8756.html";"не издана"
"Kangaroo";"Arcade";"/game/6661.html";"не издана"
"Kaos";"Action";"/game/7419.html";"не издана"
"Merlin";"Arcade";"/game/4804.html";"не издана"
"My Tennis";"Sports";"/game/5380.html";"не издана"
"The Mystery of Plastic City Part II";"Action";"/game/6817.html";"не издана"
"Peanut Patrol 2";"Arcade";"/game/9381.html";"не издана"
"Planet Siege";"Strategy";"/game/7071.html";"не издана"
"Putty Squad";"Arcade";"/game/4526.html";"не издана"
"Renegade: Return to Jacob Star";"Simulation";"/game/5377.html";"не издана"
"Seventh Sword of Mendor";"RPG";"/game/5376.html";"не издана"
"Squeak";"Arcade";"/game/9030.html";"не издана"
"Studzianki 1944: Zanim lufy pokryje rdza";"Strategy";"/game/8584.html";"не издана"
"Subterraneans";"Action";"/game/7440.html";"не издана"
"Witchwood";"RPG";"/game/7316.html";"не издана"
"Эхо снов";"Adventure";"/game/8418.html";"не издана"
"Chess";"Tabletop";"/game/4985.html";"1981"
"Donkey";"Racing";"/game/3469.html";"1981"
"Fact Track";"Educational";"/game/8610.html";"1981"
"Galaxy";"Strategy";"/game/7016.html";"1981"
"Microsoft Adventure";"Interactive Fiction";"/game/7616.html";"1981"
"Set the Hostages Free";"Arcade";"/game/4042.html";"1981"
"The Miser's House";"Interactive Fiction";"/game/5007.html";"1981"
"The Wizard's Castle";"RPG";"/game/953.html";"1981"
"Adventure in Serenia";"Interactive Fiction";"/game/5947.html";"1982"
"Andromeda Conquest";"Strategy";"/game/1129.html";"1982"
"Anti-Ballistic-Missile";"Arcade";"/game/6800.html";"1982"
"Apple Panic";"Arcade";"/game/3263.html";"1982"
"Astro-Dodge";"Arcade";"/game/6596.html";"1982"
"Attack";"Arcade";"/game/4008.html";"1982"
"Attack on Altair";"Arcade";"/game/1125.html";"1982"
"B-1 Nuclear Bomber";"Simulation";"/game/3845.html";"1982"
"The Battle of the Bulge: Tigers in the Snow";"Strategy";"/game/1220.html";"1982"
"Call to Arms";"Strategy";"/game/7282.html";"1982"
"Castle Elsinore";"Interactive Fiction";"/game/954.html";"1982"
"CIA";"Interactive Fiction";"/game/955.html";"1982"
"Cosmic Crusader";"Arcade";"/game/3218.html";"1982"
"Crossfire";"Arcade";"/game/3220.html";"1982"
"Cyborg";"Interactive Fiction";"/game/7158.html";"1982"
"Deadline";"Interactive Fiction";"/game/956.html";"1982"
"Desert";"Interactive Fiction";"/game/6837.html";"1982"
"Executive Suite";"Quest";"/game/7160.html";"1982"
"Facemaker";"Educational";"/game/7569.html";"1982"
"Flip-Ello";"Tabletop";"/game/8904.html";"1982"
"Floppy Frenzy";"Arcade";"/game/3495.html";"1982"
"Hermit's Secret";"Interactive Fiction";"/game/962.html";"1982"
"Hoser";"Arcade";"/game/7373.html";"1982"
"Jetset";"Simulation";"/game/5006.html";"1982"
"Kamikazi Alien";"Arcade";"/game/5073.html";"1982"
"Lost Dutchman's Gold";"Interactive Fiction";"/game/963.html";"1982"
"Maxit";"Puzzle";"/game/4661.html";"1982"
"Microsoft Decathlon";"Sports";"/game/3892.html";"1982"
"Night Mission Pinball";"Arcade";"/game/4876.html";"1982"
"Novatron";"Arcade";"/game/1769.html";"1982"
"Paratrooper";"Arcade";"/game/1264.html";"1982"
"PC-Man";"Arcade";"/game/6929.html";"1982"
"The Phantom's Revenge";"Interactive Fiction";"/game/961.html";"1982"
"The Queen of Hearts Maze Game";"Arcade";"/game/4313.html";"1982"
"Railroad Switch Challenge";"Puzzle";"/game/2346.html";"1982"
"Rocket Lander";"Arcade";"/game/4630.html";"1982"
"Seawolf";"Arcade";"/game/4144.html";"1982"
"Serpentine";"Arcade";"/game/4081.html";"1982"
"Snack Attack II";"Arcade";"/game/3572.html";"1982"
"Snipes";"Arcade";"/game/3618.html";"1982"
"Space Guardian";"Strategy";"/game/8344.html";"1982"
"Space Strike";"Arcade";"/game/3624.html";"1982"
"Starcross";"Interactive Fiction";"/game/960.html";"1982"
"Stocks & Bonds";"Strategy";"/game/3580.html";"1982"
